"Id","TSN","PSN","PET","NPP","RE","CVE","SR"
2418,1223.06042480469,81.9185333251953,936.691284179688,44.4171714782715,4331.56,42.65,1
2419,1223.85290527344,83.9352111816406,941.477294921875,47.5341720581055,4521,46.02,1
2420,1222.49060058594,85.7914123535156,947.850708007812,48.5702667236328,4538.73,49.13,1
2421,1221.52331542969,87.31835938,958.516174316406,49.8049774169922,4792.33,51.64,1
2422,1220.26513671875,88.4160690307617,967.1162109,51.749324798584,5454.78,54.67,1
2423,1220.04870605469,89.2195663452148,973.431396484375,54.4542922973633,5774.74,58.03,1
2424,1221.56201171875,89.5929412841797,982.020874023438,56.2568283081055,5802.73,60.65,1
2425,1224.48706054688,89.3538360595703,991.430969238281,56.5328598022461,6073.22,63.68,1
2426,1226.464844,89.0017700195312,1000.40240478516,55.933895111084,6147.75,67.02,1
2427,1226.61169433594,88.6439743041992,1008.86956787109,54.962947845459,6147.75,69.33,1
2428,1227.10961914062,88.3263549804688,1019.13031005859,54.0684089660645,6147.75,70.39,1
2429,1227.86865234375,88.1280975341797,1029.80139160156,50.9088516235352,6147.75,71.23,1
2430,1228.09033203125,87.7768707275391,1042.88586425781,45.9333953857422,6147.75,71.76,1
2431,1227.27331542969,87.1091156005859,1058.43139648438,40.4784088134766,6147.75,72.14,1
2432,1223.91809082031,86.1601638793945,1074.22790527344,35.4670257568359,6147.75,71.83,1
2433,1219.06530761719,84.9928436279297,1086.87158203125,31.1696472167969,6147.75,70.91,0
2434,1214.58630371094,84.0475692749023,1099.34045410156,27.6122703552246,6147.75,69.34,0
2435,1208.83447265625,83.4255676269531,1107.91149902344,25.1748886108398,6009.8,66.68,0
2436,1203.92663574219,83.0669021606445,1115.02355957031,22.3213443756104,6009.8,64.32,0
2437,1198.91870117188,82.9331817626953,1117.53979492188,19.0081977844238,6009.8,62.46,0
2438,1193.41918945312,83.0367279052734,1117.60595703125,15.1468076705933,5923.2,60.42,0
2439,1187.49377441406,83.2226715087891,1111.61669921875,12.4220819473267,5923.2,59.45,0
2440,1180.18615722656,83.5765533447266,1098.42883300781,11.3789539337158,5746.71,58.86,0
2441,1171.167969,84.171989440918,1081.55432128906,11.1005249023438,5746.71,58.7,0
2442,1162.62585449219,84.9023208618164,1065.05297851562,10.8466558456421,5770.63,58.12,0
2443,1153.845703,85.9457550048828,1047.06616210938,11.3327236175537,5633.46,57.68,0
2444,1145.51684570312,87.1951599121094,1029.83715820312,13.031174659729,5583.75,57.54,0
2445,1138.4677734375,88.4970397949219,1012.21820068359,16.3377246856689,5583.75,57.32,0
2446,1132.31079101562,89.5896072387695,994.603149414062,20.924337387085,5583.75,56.97,0
2447,1128.070313,90.6614303588867,981.859252929688,26.2837963104248,5563.45,56.71,0
2448,1123.87158203125,91.6809616088867,974.559936523438,31.2233238220215,5377.17,55.89,0
2449,1121.05212402344,92.9915618896484,974.458740234375,35.8859367370605,5115.44,54.84,0
2450,1119.20642089844,94.152473449707,979.2089844,40.0335121154785,5003.66,53.83,0
2451,1120.074219,94.8516616821289,988.51220703125,43.8912696838379,4832.63,53.01,0
2452,1122.38415527344,95.0712738037109,1001.19720458984,47.6102180480957,4748.18,52.47,0
2453,1126.89892578125,95.2174835205078,1016.33764648438,49.9453048706055,4748.18,52.2,0
2454,1134.17028808594,95.0926055908203,1036.15563964844,50.1736755371094,4748.18,51.27,0
2455,1145.00854492188,94.9719390869141,1058.65625,48.0466842651367,4409.04,49.8,0
2456,1207.80444335938,101.158485412598,1067.7080078125,85.3622512817383,2500.26,15.07,1
2457,1209.35607910156,102.265487670898,1054.43420410156,100.047752380371,2589.05,15.87,1
2458,1210.06787109375,103.233489990234,1040.87145996094,115.618003845215,2649.55,16.53,1
2459,1212.20141601562,104.209358215332,1027.85925292969,129.922058105469,2677.35,17.44,1
2460,1215.89880371094,104.985359191895,1015.94073486328,142.494918823242,2711.34,18.11,0
