Id,TSN,PSN,PAQ,PET,NPP,RE,CVE,X,Y
1599,949.2180176,122.4609985,111.8600006,303.5429993,437,531,1.93,-1666768,3950454
1600,941.0599976,122.9980011,125.0500031,311.5429993,419,784,2.55,-1616768,3950454
1601,933.4699707,122.2220001,133.7689972,296.1470032,373,870,2.57,-1566768,3950454
1602,924.4940186,122.1549988,142.1820068,299.0599976,386,881,2.3,-1516768,3950454
1603,931.151001,121.4759979,148.371994,282.6589966,318,702,2.31,-1466768,3950454
1604,908.8590088,121.3470001,160.1410065,247.1380005,380,1098,2.9,-1416768,3950454
1605,900.072998,121.0029984,168.9340057,190.5140076,394,1046,3.53,-1366768,3950454
1606,892.1140137,120.8619995,167.0249939,178.7920074,335,2363,5.06,-1316768,3950454
1607,885.2109985,119.5569992,166.0500031,217.2250061,334,1665,5.64,-1266768,3950454
1608,871.9140015,114.848999,132.4629974,377.105011,225,1954,6.93,-1216768,3950454
1609,888.0150146,111.8180008,110.5699997,345.618988,229,1547,5.26,-1166768,3950454
1610,887.940979,105.7360001,108.4380035,285.2109985,260,1671,5.46,-1116768,3950454
1611,936.1599731,97.226799,82.3223038,390.1799927,274,2308,11.16,-1066768,3950454
1612,960.8980103,91.5165024,65.1488037,575.9099731,266,2515,16.16,-1016768,3950454
1613,971.1060181,89.1651001,44.2313995,719.9439697,306,2501,15.84,-966768,3950454
1614,961.9370117,94.9093018,63.5702019,524.1660156,325,2594,18.67,-916768,3950454
1615,962.4799805,97.3181,65.0412979,579.3699951,351,2157,16.13,-866768,3950454
1616,962.6970215,96.5815964,76.2313995,559.882019,377,2229,19.08,-816768,3950454
1617,974.0280151,92.4503021,72.5455017,644.8430176,0,2234,18.74,-766768,3950454
1618,959.9509888,88.7190018,86,879.4420166,5,1685,6.53,-716768,3950454
1619,931.9210205,90.8594971,114.4789963,690.2340088,25,1516,7.58,-666768,3950454
1620,936.4810181,91.3559036,160.1649933,391.0100098,44,1646,9.11,-616768,3950454
1621,901.9089966,95.0185013,209.3309937,267.1480103,45,1987,10.15,-566768,3950454
1622,895.9910278,101.3079987,201.529007,399.7539978,25,1977,14.87,-516768,3950454
1623,908.5040283,102.2809982,226.2400055,721.9680176,0,1319,8.08,-466768,3950454
1624,876.690979,100.1419983,247.4380035,800.2130127,0,1935,11.63,-416768,3950454
1625,853.3029785,98.4766006,280.1650085,691.8709717,0,2541,15.39,-366768,3950454
1626,842.1279907,97.637001,272.3389893,647.8660278,0,2376,15.93,-316768,3950454
1627,853.4160156,96.6461029,264.0329895,645.815979,0,2307,16.53,-266768,3950454
1628,901.4000244,94.607399,244.529007,701.9689941,0,2412,19.24,-216768,3950454
1629,993.9229736,92.0586014,208.0579987,842.992981,0,917,9.74,-166768,3950454
1630,1005.25,93.0169983,173.4880066,832.3579712,0,784,7.3,-116768,3950454
1631,980.5050049,93.5689011,169.3220062,759.4429932,0,1047,14.26,-66768,3950454
1632,998.0570068,91.7634964,166.0249939,826.3690186,0,832,9.42,-16768,3950454
1633,960.5380249,87.585701,195.9340057,711.7109985,0,1075,8.14,33232,3950454
1634,941.4429932,87.4858017,209.9089966,696.9119873,2,1315,12.38,83232,3950454
1635,961.0939941,86.6548004,212.4210052,758.9520264,4,610,6.34,133232,3950454
1636,975.3519897,86.766098,238.9589996,796.2819824,6,614,6.97,183232,3950454
1637,987.132019,87.0737991,248.7769928,829.3569946,13,537,6.47,233232,3950454
1638,977.9180298,87.757103,255.9589996,822.0640259,20,610,7.93,283232,3950454
1639,967.4790039,89.4070969,258.2309875,820.1799927,7,591,7.81,333232,3950454
1640,979.4210205,90.475502,265.5119934,872.4329834,28,541,8.1,383232,3950454
1641,991.5620117,90.8970032,273.2070007,884.3859863,16,513,7.68,433232,3950454
1642,997.4500122,91.5986023,274.1740112,908.8499756,1,823,11.78,483232,3950454
1643,1003.039978,92.7533035,282.9830017,967.0529785,0,1231,22.49,533232,3950454
1644,987.1619873,93.9302979,292.6690063,991.3959961,0,1369,19.99,583232,3950454
1645,1014.659973,95.8150024,289,980.2490234,0,1571,37.8,633232,3950454
1646,990.9219971,96.7559967,319.9169922,928.1389771,13,668,11.04,683232,3950454
1647,988.6430054,96.9168015,346.7189941,955.0250244,5,670,11.72,733232,3950454
1648,1009,96.9297028,360.8930054,939.9420166,4,1230,20.73,783232,3950454
1649,1019.98999,107.836998,359.5620117,965.0189819,5,1532,62.35,833232,3950454
1650,1039.229981,110.7799988,346.6860046,1069.369995,0,354,51.62,883232,3950454
1651,1056.069946,108.4980011,338.5870056,1032.060059,3,37,12.02,933232,3950454
1652,1057.319946,106.5680008,341.4549866,1039.910034,18,43,18.42,983232,3950454
1653,1052.599976,109.0849991,368.4960022,1053.349976,77,107,26.41,1033232,3950454
1654,1049.939941,110.8600006,406.6610107,1069.800049,114,409,68.84,1083232,3950454
1655,1033.719971,112.0889969,471.7770081,1072.949951,197,1318,81.34,1133232,3950454
1656,1040.48999,111.5149994,476.2309875,1073.790039,181,789,46.53,1183232,3950454
1657,1026.52002,111.1910019,485.4710083,1040.849976,96,780,25.96,1233232,3950454
1658,1018.890015,110.0149994,515.2230225,1023.159973,327,798,35.87,1283232,3950454
1659,959.3540039,125.3919983,50.2561989,215.2640076,327,2542,9.38,-2416768,4000454
1660,932.2999878,128.3419952,56.388401,457.6480103,347,3821,15.36,-2366768,4000454
1661,917.8179932,123.6940002,47,539.3439941,425,3655,17.81,-2316768,4000454
1662,919.7609863,122.0179977,42.1901016,647.0369873,209,4133,24.66,-2266768,4000454
1663,981.1099854,88.2866974,22.6611996,573.3660278,130,4210,26.26,-2216768,4000454
1664,946.5,104.5979996,31.9339008,397.2539978,105,3828,16.24,-2166768,4000454
1665,928.8800049,117.9000015,44.8347015,353.803009,129,2476,8.34,-2116768,4000454
1666,944.9119873,119.7959976,46.7602997,308.4339905,146,2371,5.14,-2066768,4000454
1667,958.960022,122.7330017,54.107399,258.7780151,153,1257,3,-2016768,4000454
1668,968.4030151,123.5879974,64.4876022,271.5620117,179,845,2.33,-1966768,4000454
1669,976.3619995,123.8130035,66.3719025,325.1530151,235,656,2.41,-1916768,4000454
1670,970.2529907,125.0039978,74.2809982,305.0150146,255,794,3.29,-1866768,4000454
1671,966.1560059,125.7559967,83.7520981,274.9150085,301,784,2.72,-1816768,4000454
1672,962.8770142,126.086998,92.2562027,299.9100037,333,687,2.44,-1766768,4000454
1673,950.2810059,125.0540009,103.8759995,273.375,358,836,3.03,-1716768,4000454
1674,941.7440186,125.862999,129.2310028,203.9960022,347,1749,5.59,-1666768,4000454
1675,947.6270142,124.7519989,126.3639984,252.802002,304,1171,3.17,-1616768,4000454
1676,952.9940186,122.8880005,133.3880005,248.5200043,291,670,2.2,-1566768,4000454
1677,939.2719727,123.5550003,139.8840027,279.019989,365,710,3.04,-1516768,4000454
1678,930.0159912,122.3679962,139.4210052,284.5289917,311,1008,3.45,-1466768,4000454
1679,927.3599854,121.7350006,146.2149963,269.7879944,379,1241,4.85,-1416768,4000454
1680,916.3800049,120.9150009,150.7019958,284.6390076,397,1087,3.11,-1366768,4000454
1681,914.059021,116.5149994,125.0910034,264.5939941,350,1204,3.76,-1316768,4000454
1682,907.9539795,114.5490036,96.6197968,538.9110107,327,1853,9.34,-1266768,4000454
1683,926.5689697,110.6569977,78.2065964,652.0780029,193,1736,10.43,-1216768,4000454
1684,959.973999,103.9110031,58.892601,710.6199951,238,1982,11.11,-1166768,4000454
1685,979.4849854,96.0065002,47.611599,705.2199707,253,2002,12.18,-1116768,4000454
1686,1051.579956,79.2685013,22.1900997,868.9619751,268,1341,7.73,-1066768,4000454
1687,1051.050049,77.9957962,21.6198006,984.5120239,305,399,2.1,-1016768,4000454
1688,1030.76001,80.5214005,24.2810001,1014.729981,266,180,1.55,-966768,4000454
1689,1021.549988,86.9121017,28.0743999,1027.969971,315,151,1.33,-916768,4000454
1690,1020.919983,92.8435974,31.0331001,1025.51001,298,149,1.18,-866768,4000454
1691,1025.030029,93.4470978,34.7438011,1014.169983,0,231,0.91,-816768,4000454
1692,1005.070007,94.5026016,67.5619965,1014.25,2,405,2.24,-766768,4000454
1693,976.526001,91.2518997,94.6116028,981.7230225,29,1090,5.04,-716768,4000454
1694,949.6190186,92.6793976,122.8180008,797.5800171,64,1556,8.86,-666768,4000454
1695,939.7890015,95.6280975,142.7769928,518.9429932,40,1634,10.6,-616768,4000454
1696,923.9790039,100.1460037,158.098999,591.197998,12,1710,10.44,-566768,4000454
1697,901.3690186,102.5100021,183.0330048,677.3179932,4,1505,10.42,-516768,4000454
1698,857.1799927,103.913002,216.4129944,597.59198,10,1322,8.22,-466768,4000454
1699,884.4949951,100.4020004,259.2730103,574.0449829,6,789,4.5,-416768,4000454
1700,847.9260254,99.2315979,282.5870056,553.7960205,2,1851,10.4,-366768,4000454
1701,866.9689941,97.9340973,251.8179932,738.3950195,8,1856,11.81,-316768,4000454
1702,863.0310059,97.3770981,255.272995,702.9840088,9,2019,16.34,-266768,4000454
1703,861.6359863,96.7453003,252.4790039,699.1140137,2,2021,13.8,-216768,4000454
1704,923.4030151,93.6968002,218.1569977,792.0800171,2,1459,11.25,-166768,4000454
