"Id","PSCV.1","MPS.1","MPFD.1","PSCV.2","MPS.2","MPFD.2","PD.2","PSCV.3","MPFD.3","PSCV.4","MPS.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","MPS.All","MPFD.All","SR"
774,60.42747132,26.30914216,1.02675341,2008.769063,296.2015508,1.046430651,0.105899897,3656.345517,1.042199042,889.5789326,189.6062535,1686.697286,1.043972173,0.082883256,525.4070765,3378.976446,1.039417602,0.002101266,3463.938701,385.7809409,1.044413113,0
775,60.36226866,27.4502097,1.026305602,2016.738971,343.9313014,1.046199976,0.093798164,3505.648285,1.043084089,1362.981958,217.9276354,2970.314351,1.043201681,0.076190336,603.0610684,2637.322853,1.037583787,0.002976793,3065.552918,408.5659361,1.044185205,0
776,64.38996562,28.43617641,1.025914131,1971.875999,355.6324652,1.0452766,0.088700649,3165.125657,1.042976836,1713.124495,266.2678997,4561.500612,1.043570611,0.06663736,645.2339813,2955.367627,1.037141504,0.003229723,2671.690976,435.1671727,1.04388392,0
777,131.5030388,47.42722611,1.033752882,2131.683018,465.977892,1.044084653,0.080042656,2404.743226,1.043872555,1916.542559,275.6965314,5283.841359,1.042503701,0.060216826,603.4583563,2251.825164,1.036732647,0.003035161,2193.930127,443.6947062,1.043343605,0
778,122.0607106,50.86537934,1.035490411,3057.477178,616.550959,1.041739764,0.069030468,2314.986896,1.043889373,1580.808445,227.6691797,3599.013618,1.041221069,0.060139001,452.7971106,1493.393985,1.037109256,0.002957337,2802.51591,447.753243,1.042131318,0
779,121.0117642,50.30370855,1.0356082,3784.407714,740.5121108,1.040944108,0.060781054,2251.391932,1.043705008,1023.130176,160.7417843,1644.597701,1.040575448,0.059166193,631.2696246,2766.833441,1.035049285,0.002198546,3527.403501,467.0385712,1.041512917,0
780,126.5222024,52.14703265,1.036391062,4293.960009,972.6691151,1.037963339,0.05091678,2709.234024,1.042904061,827.5321471,107.7689633,891.8228156,1.039341717,0.055313872,588.5335372,2353.158593,1.03952137,0.002159634,4622.587311,478.4732337,1.040213313,0
781,577.5758668,82.939386,1.038658436,4139.769928,1138.589221,1.034916794,0.045002106,2218.788665,1.043688313,680.73938,116.677884,794.2723041,1.038923175,0.054613451,375.7515023,712.3388401,1.035385651,0.002354196,4872.686826,455.0473197,1.040008825,0
782,793.0265939,122.2922126,1.038883,3565.803502,940.1250194,1.038038206,0.046325125,2137.791203,1.043481803,1729.377912,201.3517711,3482.133055,1.039622033,0.058971631,499.095691,202.1987675,1.031377434,0.002042897,3729.102523,442.0537951,1.040541184,0
783,1067.560377,194.4537399,1.040224053,3708.542591,927.7243648,1.039729952,0.041655646,2020.095028,1.044094022,2006.628255,364.1168716,7306.472027,1.039745001,0.050410919,301.1666679,95.76444291,1.03359447,0.001887248,3587.152398,449.2404052,1.041543497,0
784,1088.803573,244.1350888,1.040786194,3332.323107,898.282627,1.040319169,0.03696671,1554.459045,1.043835915,2210.10059,535.6000239,11837.29929,1.039680059,0.045916546,285.7274561,90.57296147,1.030736624,0.002684951,3050.389203,456.9081231,1.041643533,0
785,1534.135446,262.2606112,1.041109628,2541.870179,723.3535713,1.041390258,0.033931549,1712.674363,1.043560654,1979.192052,682.7404355,13512.74443,1.04125282,0.047064459,340.6317732,90.58964168,1.029658308,0.002704407,2255.430886,479.2763406,1.041979186,0
786,1647.793779,299.5157591,1.042744053,1899.467116,719.2467611,1.041975771,0.026752225,1415.535532,1.04496595,1920.91472,891.0000069,17115.35029,1.042641164,0.043737455,324.9069659,99.27670755,1.031120996,0.002295827,1991.696692,532.7831944,1.04333809,0
787,2058.194887,321.916938,1.042799183,1197.499698,808.827836,1.04313805,0.023289028,1442.614433,1.045426316,2670.319401,825.6267862,22046.87225,1.044169893,0.047862162,325.4847628,79.90293399,1.029677319,0.001731599,2316.874335,551.6539096,1.044122301,1
788,1443.322956,290.5149103,1.043995652,1061.085892,985.2292923,1.043164339,0.023503045,1566.692129,1.044308051,2789.376626,719.0368349,20056.64541,1.046038705,0.049146269,311.7325041,87.7308702,1.026802011,0.001595405,2219.585732,525.8603925,1.044405859,1
789,609.8026974,248.8157145,1.044943074,2188.400425,1270.227734,1.038873004,0.025156819,1490.516541,1.044367104,2595.469757,575.9239631,14947.93228,1.046689191,0.047297933,229.214838,62.41148303,1.02417902,0.001245194,2579.480694,486.3511995,1.044227954,1
790,456.8831097,186.7416162,1.043469487,2740.008717,1606.843515,1.036839962,0.026051803,1542.940407,1.043901166,2361.287587,326.5743432,7711.359428,1.046987606,0.051305903,218.7962158,72.44743806,1.027872519,0.00101172,3569.416071,439.8972506,1.043618144,1
791,428.019757,165.7353479,1.041089107,3196.965806,1730.726699,1.036290247,0.029242614,1870.068066,1.043073228,837.0433767,191.066531,1599.309743,1.046473501,0.045760896,131.2406091,93.68545415,1.02524849,0.00025293,4671.647067,426.1470422,1.042415155,0
792,1306.939287,269.7685676,1.040711101,3691.818845,1526.760797,1.035911841,0.03387318,2306.923861,1.043263106,574.1991693,143.9776893,826.7186957,1.045866814,0.036285745,118.8404336,113.5340673,1.027096302,0.000194562,5240.187477,407.4646802,1.042065873,0
793,2287.716511,335.0817018,1.039976287,3436.732954,1407.296208,1.03666449,0.035565867,2378.214972,1.043145293,1674.813908,222.7929314,3731.367,1.043918287,0.030390527,118.6091845,53.08086264,1.024689295,0.000272386,4744.112267,397.5680288,1.041662544,0
794,1804.082224,265.4471822,1.039377177,2751.705283,1657.30793,1.036261187,0.031635722,1371.000697,1.044158062,1505.483624,313.277381,4716.339668,1.043625902,0.024942801,124.3301427,50.50054293,1.026079727,0.001089545,4089.690551,409.4773324,1.042004448,0
795,2253.208456,390.5020298,1.039289609,2612.947047,1425.953208,1.037510649,0.03428176,936.4495681,1.043771608,1337.32981,397.4890183,5315.739132,1.041559202,0.020117673,122.1673945,46.23367374,1.026883192,0.0014203,3606.813722,400.9172758,1.041799168,1
796,1983.391711,468.0928656,1.041613038,3278.263078,1318.8904,1.038381315,0.035877165,802.3111422,1.043342967,1227.934917,461.8641965,5671.391739,1.041882558,0.015409281,113.7061333,43.00532853,1.026720522,0.00116737,4395.421876,373.2577688,1.042196094,1
797,1839.13651,473.957118,1.041744082,3455.436606,1528.150569,1.038467384,0.032394512,719.7385054,1.042952731,835.7380866,349.1063542,2917.614765,1.042758105,0.013813876,122.9133595,42.84894551,1.029052551,0.001284107,5024.562774,374.536142,1.042094861,1
798,2012.888731,637.5002388,1.041353833,3098.384907,1339.034646,1.039514608,0.035507498,579.4725341,1.041860649,403.826421,225.4659144,910.490933,1.043378523,0.010778715,118.4935943,39.56490225,1.026678837,0.001050633,4315.790651,371.5846932,1.04146118,1
799,2568.286132,1018.507951,1.04100372,2608.814911,806.8280372,1.042869463,0.048037267,725.3863859,1.039938627,398.386928,206.6365465,823.2129897,1.046708541,0.01237412,100.7941716,37.15660385,1.0278359,0.000486404,3685.42842,362.1334092,1.040887135,1
