"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSSD.All","SR"
31,563.6092207,250.8458248,1413.790198,1.045687425,0.116650045,1092.127623,779.5736872,8513.939581,1.044283207,0.071264021,243.7054759,116.2017209,1.051897748,0.129389982,0,0,1.011950959,0.000398123,42.42640687,17.20213141,7.298246263,1.022477732,0.003583107,4102.566863,0
32,572.9232102,236.5461717,1355.227921,1.048840857,0.121825645,1155.393003,838.1375834,9683.782993,1.045074928,0.066088422,249.7094699,97.61384816,1.049875971,0.145314903,53.03300859,87.57895516,1.01169511,0.000796246,319.2917111,285.0260851,910.0646641,1.026770017,0.005175599,4353.504352,0
33,264.9048895,147.48237,390.6880094,1.048988116,0.066088422,543.6946817,6967.895349,37884.07644,1.04515439,0.011943691,150.8632656,68.56278091,1.045617311,0.094753279,87.09210075,125.84626,1.024195667,0.001592492,210.4410925,50.91830898,107.1530457,1.015712424,0.005971845,9750.306212,0
34,172.7068984,66.75417038,115.2890572,1.043417515,0.1106782,359.9082385,16777.63574,60384.09325,1.035927162,0.005175599,157.5147037,52.07085178,1.038534185,0.079624604,101.1341125,296.746917,1.020674139,0.002786861,124.6068197,227.0681346,282.942381,1.048680495,0.003583107,9668.295052,0
35,238.9445139,80.10072234,191.3962816,1.043409136,0.064894053,223.5069527,46229.00795,103325.0469,1.044779837,0.001990615,91.14256075,36.25910134,1.035653043,0.045784148,43.88938642,65.68421637,1.029381891,0.000796246,145.4068962,67.78569621,98.56507694,1.029763174,0.014730552,12873.91022,0
36,196.5221663,78.69975121,154.6624559,1.042003738,0.082809589,955.9783894,1290.629005,12338.13437,1.041621144,0.043793532,830.772536,308.3696368,1.052166143,0.11983503,0,0,0,0,0,20.64255769,0,1.009624609,0.000398123,5493.170715,0
37,185.9868002,79.91475612,148.6308978,1.042248803,0.082013343,1007.710884,1419.719067,14306.66356,1.040886945,0.045386024,717.517276,329.9267616,1.053097525,0.081217096,157.3113035,734.7033577,1.039748902,0.003184984,139.184207,28.54478681,39.72983516,1.024739819,0.025479873,6406.951792,0
38,399.997274,171.3775534,685.5055417,1.047354062,0.129788105,827.9985517,2425.930582,20086.67009,1.040119617,0.028664858,640.0073877,187.4126948,1.03916255,0.037821687,97.35737571,287.38785,1.032187759,0.001990615,82.91267796,33.22948312,27.55145432,1.035437256,0.016323044,7374.106777,0
39,298.1440351,126.0043514,375.6744578,1.04718043,0.13575995,656.7132374,4015.201847,26368.36204,1.035426662,0.018313659,585.2352775,60.60147524,1.036814165,0.142528042,0,0,0,0,100.6358112,44.30597749,44.58767987,1.039218173,0.016323044,6389.600296,0
40,487.2235516,222.3361197,1083.273939,1.046504769,0.11983503,891.0361108,2016.877369,17971.10567,1.035557808,0.033044211,113.2686557,49.25300818,1.041673406,0.122223768,65.37871532,141.7063098,1.034251871,0.001990615,83.5880461,38.24944514,31.97196384,1.032622406,0.006768091,6169.525819,0
41,547.1704324,151.3470474,828.1262937,1.04505622,0.086392696,671.9613597,4365.00345,29331.13653,1.039506609,0.018313659,127.4310535,48.52750427,1.036883855,0.117446291,74.98980864,143.7411348,1.030621249,0.002786861,203.8783207,69.9553344,142.6237611,1.027338368,0.010749322,8189.800238,0
