"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
43,1120.679186,584.6805129,6552.392815,1.042235652,0.044462936,969.1105178,2404.090849,23298.29728,1.036134989,0.028242552,146.4465514,53.09265839,1.036261469,0.07156052,141.8272189,265.2474954,1.024345246,0.004770701,204.4958647,95.00869502,194.2888525,1.044223596,0.014884588,1682.382344,10263.35429,1.03823633,0
44,1045.906892,615.2059158,6434.481074,1.041550875,0.061446633,1207.509509,1841.380654,22234.84649,1.038614382,0.030532488,430.5309435,55.83291198,1.034127803,0.064309054,165.4727655,284.0791288,1.024700447,0.005724842,238.2208042,97.98334052,233.4167018,1.045026168,0.014312104,1763.190042,9999.653144,1.038070053,0
45,1518.647837,906.1437747,13761.13284,1.046627316,0.061064977,990.5168254,660.7753899,6545.091415,1.05018412,0.055340135,377.6890229,84.28590509,1.041230768,0.072323832,61.65340242,65.54322169,1.021259589,0.003816561,301.6037538,123.0964286,371.2634495,1.046904295,0.012976308,1692.537892,8235.320009,1.045232387,0
46,1419.52668,937.4168183,13306.88184,1.042412477,0.062782429,1252.668695,415.7081662,5207.446059,1.047375229,0.076522049,205.7791108,67.88432101,1.038778124,0.110107786,58.37432367,80.515598,1.037172248,0.002099109,350.7263465,95.77186651,335.8971684,1.034018564,0.016411212,1880.462103,7018.677063,1.041781083,0
47,955.6851499,846.5631402,8090.478215,1.042202634,0.063164085,979.9105493,440.0189431,4311.792043,1.043835935,0.07938447,241.2895362,84.43427444,1.042441278,0.114115175,128.6085599,432.7339676,1.045372251,0.001908281,400.7279017,92.20342436,369.4848477,1.035241892,0.014312104,1239.530346,4542.332367,1.042434664,0
48,651.6735036,648.2746095,4224.63386,1.046312959,0.072133004,916.1734556,306.8169778,2810.975708,1.043742797,0.110298614,564.9540153,141.0169424,1.045001718,0.129572247,86.44812364,176.963946,1.034012304,0.002289937,100.2675545,41.40946814,41.52026102,1.041449516,0.015838728,861.9790079,2611.009002,1.044620959,0
49,986.4018969,561.3063193,5536.736181,1.042786099,0.085109311,949.8374158,331.8211139,3151.761094,1.043627261,0.098467275,438.704107,120.1178728,1.045214583,0.148082568,138.6377297,277.7665648,1.03424514,0.003244077,380.6358528,150.0555155,571.1650912,1.040495989,0.007442294,1115.696396,3258.97759,1.043947767,0
50,988.8331881,517.7798224,5119.978725,1.0425323,0.075758737,1096.915589,494.7039863,5426.485145,1.043550074,0.085109311,265.2672646,95.33384432,1.044886419,0.142739383,266.0646614,926.3977263,1.03918472,0.009350575,352.5967525,101.7700291,358.8378174,1.039060749,0.017747009,1222.193161,3695.720076,1.04352937,0
51,858.6987307,590.1559798,5067.661907,1.045178937,0.074804596,1595.567511,327.8976793,5231.828842,1.041719032,0.107436193,208.3777777,88.42627551,1.046383048,0.161440532,291.4727693,1174.848328,1.036306602,0.010877199,291.2669235,81.75108166,238.1138605,1.036455419,0.024044335,1360.666304,3593.914532,1.043901651,0
52,1187.715275,848.6119671,10079.09396,1.042533292,0.066026506,1029.364041,196.3036055,2020.678727,1.039373116,0.138350338,269.787351,90.42207473,1.046844074,0.164302953,134.535258,326.5930546,1.038433876,0.004770701,178.6499322,73.15432726,130.690156,1.0395004,0.010877199,1674.399409,4356.697221,1.04310186,0
53,969.3291059,1373.337221,13312.1574,1.041043764,0.045417076,635.2917805,158.467352,1006.730062,1.041050712,0.129572247,228.1693874,78.11026848,1.044425519,0.16163136,128.1194114,212.3548439,1.037938865,0.003244077,387.7045125,245.253245,950.8578977,1.041288121,0.016029556,1711.714439,4809.614417,1.04256484,0
54,1006.629152,753.5631566,7585.586411,1.03834423,0.071751348,803.7320533,220.0425912,1768.552837,1.045559993,0.122511609,267.2701776,95.23846708,1.045680854,0.147700912,201.2837591,513.1439338,1.029346967,0.001908281,642.2185435,272.4817616,1749.9284,1.038794246,0.016220384,1284.69262,3567.673578,1.043781085,0
55,571.6803486,172.0885099,983.7961934,1.046470159,0.146555944,1233.825382,1032.784362,12742.7556,1.040705047,0.054004339,348.3616384,140.2722162,1.05338564,0.133770465,58.11576132,137.9606649,1.035132382,0.000763312,176.6352173,51.60639423,91.15506661,1.014827026,0.001144968,1734.905367,5159.738232,1.048161995,0
56,1069.431141,338.0615795,3615.335808,1.046107691,0.11163441,1399.150612,521.581308,7297.70806,1.046869153,0.082819375,333.3145366,113.0448506,1.051491815,0.165066265,55.22474048,233.6958777,1.040163331,0.000763312,123.2805596,70.52873879,86.94822384,1.02474093,0.001144968,1459.488804,4038.114005,1.048660892,0
57,743.3306185,725.4034423,5392.145894,1.048150551,0.072323832,491.8781087,221.9153982,1091.553263,1.048413997,0.124610718,193.0792332,106.9961856,1.055374548,0.183767414,49.7962522,182.4561566,1.042230432,0.000381656,123.6275037,70.52873879,87.19291914,1.025325055,0.001144968,932.4470611,2439.501098,1.051635297,0
58,555.4933559,518.5989933,2880.782952,1.048846575,0.087017592,901.8070725,367.3116112,3312.442087,1.04641003,0.103237976,204.0210217,102.4738516,1.051551508,0.165257093,0,0,1.016963949,0.000190828,0,20.64255769,0,1.009624609,0.000381656,816.108196,2291.890597,1.049336379,0
59,521.9146552,366.792957,1914.346197,1.048872226,0.096558994,1128.911746,636.4955229,7185.47272,1.043146272,0.078811986,210.8141675,96.7818378,1.050614624,0.148845881,0,0,0,0,39.12303982,14.44979039,5.653197247,1.013252989,0.00095414,1201.133048,3693.850452,1.048177482,0
60,568.594137,248.7502456,1414.379312,1.046988344,0.106100397,791.1405441,762.1477664,6029.659986,1.046786182,0.073850456,246.7578671,109.2545127,1.050109987,0.133007152,114.1504127,207.9484594,1.023549425,0.003816561,271.1062538,354.2529256,960.4018353,1.024551509,0.00591567,971.9689543,3012.080459,1.047540224,0
61,381.917165,122.4791756,467.7689953,1.042473199,0.097322307,1101.626036,3098.759186,34136.73798,1.035625909,0.024044335,436.1086944,97.92030789,1.045199324,0.104573773,240.0933658,557.56588,1.017965946,0.002671593,466.4589704,444.1375304,2071.719351,1.030358152,0.006106498,2567.194412,10937.33288,1.042392203,0
62,179.8215438,69.79507256,125.506577,1.041471365,0.105146257,606.3748614,12197.79892,73964.38631,1.031212161,0.007060638,337.3626136,66.42835652,1.041713979,0.091024981,70.04031803,124.0988037,1.030778967,0.001144968,220.1969956,100.4604474,221.2108871,1.029892052,0.002862421,2829.355154,13652.60179,1.041009388,0
63,219.5863191,68.85875085,151.2043964,1.041541608,0.104573773,457.7597436,21851.62179,100027.9279,1.027559363,0.004007389,131.8206757,49.68208801,1.038399862,0.090070841,55.42555467,63.74411884,1.026366639,0.001335796,190.0253815,85.3597656,162.2052202,1.032097562,0.007060638,2881.173039,13915.45422,1.039484294,0
64,203.7359616,75.23825603,153.2873844,1.042639769,0.132434668,704.3637463,8361.680845,58896.64846,1.031857388,0.009541403,374.4707886,88.617578,1.042365997,0.111061926,0,0,1.123724502,0.000190828,148.0597311,56.60056142,83.80263902,1.030045921,0.00591567,2929.00465,11302.5926,1.041897664,0
65,298.3738971,70.3090846,209.7839557,1.039972557,0.133007152,800.414674,6152.434926,49244.99196,1.036986859,0.012403823,339.6359124,86.55095495,1.044489316,0.165257093,0,0,1.022753969,0.000190828,79.75554367,26.835325,21.40265935,1.021184873,0.00095414,3063.345276,9824.30146,1.042179586,0
