"Id","MPS.1","MPFD.1","LPI.1","PSCV.2","MPS.2","MPFD.2","PSCV.3","MPFD.3","MPS.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","PD.5","PSCV.All","SR"
25,773.4980803,1.043750509,18.72669954,4041.749892,581.9764433,1.043199262,698.3184195,1.043294564,375.0334334,1.035196576,0.005389373,3686.944552,827.9631593,1.039955075,0.011406399,5217.348899,0
26,818.1793517,1.043330288,20.03404787,3188.994797,492.7028169,1.043393041,679.1692467,1.043897333,531.8494276,1.037572361,0.005335056,3970.107409,1219.822879,1.039759374,0.011044291,5288.122508,0
27,862.5580004,1.042700437,20.57998368,2571.853369,427.3170204,1.043663349,518.4292842,1.044192875,603.2174399,1.039951663,0.005232449,4005.195852,1533.844636,1.038457631,0.011171008,5512.528202,0
28,250.812,1.0493,4.1864,7921.9152,526.3952,1.044,2963.05,1.0531,255.0029,1.021,6e-04,541.5685,86.1244,1.0308,0.0022,7002.3646,0
29,248.3841367,1.048696649,1.609269291,8295.042413,606.0377378,1.043993668,2789.680961,1.052784532,275.6849171,1.025352569,0.000875094,847.3495648,238.0275571,1.031131471,0.002245069,7924.412397,0
30,250.5063246,1.047797866,4.706341835,8201.558602,694.2904551,1.043972662,3247.587902,1.051982789,323.0733261,1.02483042,0.001080289,837.4564358,228.0653596,1.0321153,0.002498544,8544.306598,0
31,248.7796,1.0472,4.1956,7698.6973,772.7156,1.0443,4341.5712,1.0513,290.8814,1.0206,0.0013,883.2886,192.5384,1.03,0.0031,8554.8196,0
32,239.7346,1.0468,4.0748,8144.6671,877.2595,1.0446,4465.5014,1.0501,266.1192,1.0206,0.0014,963.131,165.0359,1.0296,0.0036,9713.1843,0
33,214.3172,1.0464,3.3766,8139.6133,1100.7608,1.0439,3956.824,1.0494,261.116,1.0219,0.0015,945.3407,158.3666,1.0312,0.0041,11124.2997,0
34,175.4695,1.0461,0.707,7671.4091,1454.6447,1.0435,3038.3226,1.0484,243.2232,1.0216,0.0015,937.5876,154.1645,1.0309,0.0045,12440.4316,0
35,148.6375,1.0456,0.6948,7058.7263,1907.6332,1.0421,1663.1276,1.0488,242.5894,1.0216,0.0016,891.178,170.0644,1.0321,0.0046,13372.7604,0
36,142.3683,1.0446,0.6863,6602.366,2335.2031,1.039,720.8169,1.0489,221.5665,1.0213,0.0014,450.7824,55.1813,1.0334,0.0056,13692.8743,0
37,164.5035,1.045,1.2282,6708.0793,2236.2172,1.0393,717.3456,1.0484,249.0328,1.0203,0.0015,409.9325,58.6826,1.0343,0.0057,13290.847,0
