"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","MPFD.5","LPI.5","PD.5","PSCV.All","PSSD.All","MPFD.All","SR"
40,753.344598,188.5620957,1420.522362,1.047067726,0.112334561,1776.772809,2815.764082,50029.73058,1.035957077,0.025192959,348.5967576,55.19445075,1.039067979,125.9264543,239.7987181,1.026684155,0.003062974,208.1888291,48.83351335,1.030177852,0.059275886,0.010260962,4163.930201,15197.76857,1.041590481,0
41,842.6025372,191.3729964,1612.513723,1.047571876,0.09204236,1534.352883,4150.096288,63677.12202,1.036072966,0.018454417,156.1182504,49.98343696,1.038750173,133.8439065,344.8287471,1.023123375,0.003981866,164.1064628,47.03795933,1.031852689,0.038726912,0.00934207,3974.957539,18883.15144,1.041771051,0
42,615.4265636,149.3385036,919.0688209,1.045302247,0.079024722,1126.849349,8355.115231,94149.5616,1.038339783,0.00987809,134.615021,47.18598895,1.033923206,121.4362068,250.2774931,1.029469566,0.004824184,216.3711323,74.23985851,1.038290312,0.114600046,0.015085146,4016.237694,21817.33333,1.039286205,0
43,1806.403661,407.0400137,7352.785708,1.042513592,0.054674081,1559.36921,3599.257082,56125.70672,1.037032227,0.019832755,166.1025035,54.02079538,1.036035347,146.9222473,320.7987431,1.025062526,0.005436778,178.6581125,100.3030662,1.050201578,0.106696594,0.014395976,3269.675971,20009.0755,1.039206781,0
44,1857.650517,464.6739271,8632.017609,1.043747362,0.073051923,2027.741656,1449.497189,29392.0583,1.042603688,0.038134023,1197.387247,110.6918257,1.038783798,127.830362,202.1279147,1.025325096,0.005743076,202.9681839,103.1560781,1.052190966,0.127245568,0.01393653,2823.884886,13638.19903,1.041767617,0
45,2211.917776,1062.032012,23491.27485,1.044780225,0.054444358,1424.829667,498.8701111,7108.049343,1.047827047,0.06348013,1165.245995,112.5462887,1.04181733,135.4213498,212.1247943,1.023193289,0.002603528,413.2819016,103.5974324,1.051753385,0.404656714,0.012328469,2655.826112,12570.85041,1.044736925,0
46,2035.145332,913.9679258,18600.57557,1.043105956,0.061336049,1741.461286,414.9614153,7226.392401,1.046447698,0.079024722,415.8601442,85.34311166,1.041533541,66.16247644,94.3617891,1.032043999,0.001684636,471.8982874,91.0302954,1.037586715,0.401495333,0.014013105,2612.03682,9712.734327,1.043071091,0
47,1618.207951,927.2439047,15004.73459,1.042387648,0.059115393,1252.534555,389.9975743,4884.854382,1.043410731,0.082930013,310.5475337,98.36967317,1.04432348,139.2433258,311.6044114,1.036219041,0.001684636,452.2993524,134.176625,1.039644103,0.38568843,0.00987809,2021.642619,7575.622486,1.043386634,0
48,1960.981669,1022.977815,20060.40743,1.041370913,0.053984912,1071.423255,272.1745446,2916.141364,1.04439014,0.104447403,502.2622827,112.8509954,1.045247794,144.8564086,319.2769167,1.03325633,0.002373805,557.1160657,129.8545895,1.04445883,0.573000229,0.012251895,2604.115285,8704.293322,1.044121352,0
49,1414.567925,654.2686682,9255.074724,1.042448098,0.067691719,1484.308233,448.7347382,6660.606662,1.043686778,0.085303818,405.4445851,102.8223166,1.043769281,206.31829,614.101166,1.036576058,0.005207055,408.1464624,236.6177291,1.042328225,0.482110538,0.008193455,1704.817921,5644.920346,1.043286734,0
50,1635.894569,647.5628771,10593.44594,1.04049001,0.064935043,1588.202338,397.5932293,6314.584964,1.044251473,0.089974853,287.0001919,99.36662532,1.046223422,674.7197459,4925.544842,1.038398854,0.008193455,385.0797555,114.807757,1.044180708,0.396753262,0.017994971,1893.866588,5857.979877,1.044211049,0
51,1567.059904,623.8129966,9775.523347,1.042947063,0.062025218,2038.858411,413.0063611,8420.614932,1.043387877,0.091659488,247.9102169,87.07819332,1.044956343,634.3779056,4569.019843,1.038728246,0.010873557,432.9060624,117.7987624,1.042704347,0.441802935,0.022053411,2063.919442,6139.668799,1.04380875,0
52,2013.575056,673.4489323,13560.39971,1.041596656,0.068074591,1812.13585,370.3577767,6711.386043,1.04078583,0.092884678,239.4812209,80.92820914,1.045037275,357.4996181,1700.099883,1.03929731,0.009188921,728.3564721,193.6959997,1.046528414,1.558560623,0.016080612,2380.231382,7045.314674,1.043090002,0
