"Id","PSCV.1","MPS.1","PSSD.1","MPFD.1","PD.1","PSCV.2","MPS.2","PSSD.2","MPFD.2","PD.2","PSCV.3","MPS.3","MPFD.3","PD.3","PSCV.4","PSSD.4","MPFD.4","PD.4","PSCV.5","MPS.5","PSSD.5","MPFD.5","PD.5","PSCV.All","PSSD.All","SR"
29,401.6277334,702.4994562,2821.432643,1.047321087,0.075442478,565.9869092,163.8216315,927.2089886,1.045675084,0.156087885,160.9116186,98.25775221,1.053179017,0.217655884,0,0,1,0.000433577,0,10.32127885,0,1,0.000433577,584.2234253,1298.120233,0
30,665.4228422,347.9367371,2315.250525,1.043545772,0.118366646,674.247225,323.4127192,2180.601284,1.046637332,0.117933068,234.7036682,113.263103,1.050123519,0.181668955,0,0,1.035840877,0.000433577,54.71012044,18.06223798,9.881872154,1.019848576,0.00173431,713.038645,1697.159256,0
31,434.2646921,226.5565844,983.8552535,1.048112775,0.148717068,563.735909,565.0507226,3185.393828,1.046976321,0.085414759,243.9248592,109.4606026,1.051322095,0.162591546,63.39578038,94.87720142,1.028145749,0.000867155,59.62572284,38.33617857,22.85822358,1.021997441,0.003035042,642.5024495,1603.74798,0
32,474.7005779,158.7219163,753.4538537,1.048227602,0.138744786,1000.916631,934.4065458,9352.630514,1.040464324,0.067638083,212.9936278,107.0293385,1.045279089,0.134842589,8.318903308,7.298246263,1.026854955,0.000867155,142.7053426,88.4681044,126.2487115,1.026829264,0.003035042,1439.822992,4171.856316,0
33,408.6734375,128.7499732,526.1669415,1.042519415,0.12617104,586.2454894,1664.386018,9757.387955,1.041034879,0.042057013,226.9595775,100.1307399,1.047328203,0.124870308,99.3770021,293.3495564,1.03021854,0.002167887,275.8375025,94.26768013,260.0256145,1.020571077,0.006503662,1111.976937,3684.850276,0
34,267.3169073,90.08572508,240.8143742,1.041477433,0.089316956,386.6673099,13121.78584,50737.65632,1.026929842,0.006503662,122.037879,45.52673683,1.034818315,0.094953463,108.9038994,250.6581354,1.024154086,0.004335775,229.4982474,135.5840721,311.1630692,1.033669719,0.009538704,1850.928807,9044.426252,0
35,361.9803495,97.17881006,351.7681963,1.043743628,0.112730139,345.4406381,16425.45518,56740.19718,1.035355774,0.005202929,125.0616371,42.31724327,1.037502429,0.082379717,20.20305089,21.89473879,1.011952528,0.000867155,0,10.32127885,0,1,0.000433577,1838.228684,9117.586485,0
36,420.145213,87.03546488,365.6753394,1.041046466,0.061134421,601.265363,1934.578163,11631.94842,1.04581306,0.033819042,439.3849678,185.1998961,1.051455193,0.15348642,134.3058163,1102.035186,1.044306524,0.000867155,154.9193338,44.72554167,69.28851121,1.031262978,0.002601465,1091.393034,4332.497802,0
37,460.6286713,211.320204,973.4014479,1.047489221,0.084114027,611.9724408,1379.709237,8443.440294,1.038603408,0.045525633,435.2713927,170.9761213,1.048691874,0.102757857,109.9595202,360.9054726,1.043564373,0.002167887,315.0830399,130.5641774,411.3855792,1.035712323,0.008671549,910.8738777,3744.800551,0
38,553.8936291,159.3098444,882.4070785,1.045511854,0.123569575,872.9962396,1904.212236,16623.70121,1.039380156,0.035119774,611.6689491,159.9798221,1.040597993,0.078043942,113.4401349,132.138477,1.01416202,0.003035042,110.7658121,32.16398524,35.62669945,1.033220489,0.018643831,1596.721756,6178.972878,0
39,391.2766036,124.4624802,486.9925653,1.043608725,0.154787152,757.4764306,2832.502958,21455.5423,1.043429975,0.026014647,209.6450085,59.48315967,1.040526044,0.09885566,89.76971168,142.0691947,1.025867307,0.002601465,212.9404857,51.30282721,109.2444894,1.042674473,0.014741634,1888.626897,6359.001169,0
40,501.0681347,282.4487278,1415.260572,1.049519783,0.116198759,453.1247146,876.1618932,3970.106078,1.049152046,0.066337351,124.8842451,47.66554231,1.040073621,0.166927321,106.1595086,197.2263403,1.023120623,0.00346862,152.4004094,52.63852212,80.2213232,1.031788427,0.008671549,687.2132832,1900.460295,0
